,original vs detected,count
0,"(Rock&Pop, World)",1
1,"(Hip-Hop, Rock&Pop)",3
2,"(Blues, Blues)",3
3,"(Country, Alternative&Punk)",7
4,"(Soundtracks&More, NewAge)",6
5,"(Comedy&SpokenWord, Electronic&Dance)",4
6,"(Comedy&SpokenWord, EasyListening&Vocals)",4
7,"(Hip-Hop, Childrens's)",2
8,"(Alternative&Punk, Electronic&Dance)",3
9,"(Religious, Blues)",2
10,"(Hip-Hop, Country)",2
11,"(Electronic&Dance, World)",3
12,"(World, Country)",6
13,"(Childrens's, Classical)",2
14,"(Latin, EasyListening&Vocals)",4
15,"(Rock&Pop, Folk)",1
16,"(Folk, R&B&Soul)",4
17,"(Blues, Jazz)",6
18,"(Alternative&Punk, Reggae)",4
19,"(Electronic&Dance, Alternative&Punk)",4
20,"(World, Childrens's)",4
21,"(Hip-Hop, Comedy&SpokenWord)",1
22,"(World, Electronic&Dance)",4
23,"(Childrens's, Rock&Pop)",1
24,"(Soundtracks&More, Electronic&Dance)",1
25,"(Reggae, Soundtracks&More)",1
26,"(Rock&Pop, Hip-Hop)",1
27,"(R&B&Soul, R&B&Soul)",2
28,"(Rock&Pop, Religious)",6
29,"(Latin, Country)",6
30,"(EasyListening&Vocals, R&B&Soul)",2
31,"(Rock&Pop, R&B&Soul)",3
32,"(Hip-Hop, Electronic&Dance)",2
33,"(Latin, Religious)",1
34,"(Blues, Comedy&SpokenWord)",1
35,"(Blues, Latin)",2
36,"(R&B&Soul, Religious)",6
37,"(NewAge, EasyListening&Vocals)",6
38,"(Alternative&Punk, Folk)",3
39,"(Soundtracks&More, Latin)",3
40,"(Country, Religious)",4
41,"(World, Folk)",3
42,"(Jazz, Jazz)",9
43,"(Blues, NewAge)",3
44,"(Alternative&Punk, Hip-Hop)",1
45,"(R&B&Soul, Blues)",2
46,"(Comedy&SpokenWord, World)",3
47,"(Childrens's, World)",2
48,"(EasyListening&Vocals, Jazz)",2
49,"(Rock&Pop, Jazz)",3
50,"(Alternative&Punk, Alternative&Punk)",3
51,"(Electronic&Dance, Religious)",4
52,"(Jazz, Comedy&SpokenWord)",1
53,"(Latin, Alternative&Punk)",1
54,"(Jazz, Hip-Hop)",2
55,"(Classical, Country)",2
56,"(R&B&Soul, NewAge)",2
57,"(Latin, Folk)",2
58,"(Alternative&Punk, Childrens's)",6
59,"(Blues, R&B&Soul)",4
60,"(Latin, R&B&Soul)",5
61,"(Blues, Classical)",1
62,"(EasyListening&Vocals, Electronic&Dance)",3
63,"(Religious, R&B&Soul)",3
64,"(Alternative&Punk, EasyListening&Vocals)",1
65,"(World, NewAge)",5
66,"(Alternative&Punk, R&B&Soul)",1
67,"(Soundtracks&More, Comedy&SpokenWord)",1
68,"(Jazz, Rock&Pop)",3
69,"(Comedy&SpokenWord, Hip-Hop)",4
70,"(Classical, Comedy&SpokenWord)",9
71,"(Jazz, Folk)",6
72,"(Jazz, World)",2
73,"(Latin, Childrens's)",4
74,"(Hip-Hop, Soundtracks&More)",2
75,"(EasyListening&Vocals, Religious)",4
76,"(Comedy&SpokenWord, Childrens's)",4
77,"(Religious, Reggae)",3
78,"(Classical, Blues)",4
79,"(Comedy&SpokenWord, Folk)",3
80,"(Soundtracks&More, Country)",6
81,"(NewAge, Soundtracks&More)",1
82,"(NewAge, Alternative&Punk)",3
83,"(Religious, Electronic&Dance)",1
84,"(Comedy&SpokenWord, Reggae)",2
85,"(Soundtracks&More, R&B&Soul)",4
86,"(Blues, Rock&Pop)",3
87,"(Electronic&Dance, Blues)",1
88,"(Blues, EasyListening&Vocals)",1
89,"(NewAge, Comedy&SpokenWord)",1
90,"(Blues, World)",4
91,"(Folk, Alternative&Punk)",2
92,"(Rock&Pop, NewAge)",2
93,"(Classical, EasyListening&Vocals)",4
94,"(Alternative&Punk, Comedy&SpokenWord)",4
95,"(Religious, Jazz)",4
96,"(Childrens's, Comedy&SpokenWord)",2
97,"(R&B&Soul, Hip-Hop)",7
98,"(Reggae, Religious)",4
99,"(Reggae, R&B&Soul)",9
100,"(Soundtracks&More, Blues)",3
101,"(World, Blues)",4
102,"(Jazz, Alternative&Punk)",4
103,"(Folk, Jazz)",4
104,"(EasyListening&Vocals, Blues)",3
105,"(Religious, Religious)",8
106,"(World, EasyListening&Vocals)",1
107,"(Alternative&Punk, World)",1
108,"(Jazz, R&B&Soul)",2
109,"(Childrens's, Electronic&Dance)",4
110,"(Rock&Pop, Soundtracks&More)",3
111,"(Religious, Soundtracks&More)",2
112,"(Country, Folk)",5
113,"(Alternative&Punk, Blues)",2
114,"(Electronic&Dance, Hip-Hop)",9
115,"(Classical, NewAge)",2
116,"(Alternative&Punk, Religious)",5
117,"(Childrens's, Hip-Hop)",1
118,"(R&B&Soul, Reggae)",8
119,"(Electronic&Dance, Reggae)",5
120,"(Hip-Hop, Jazz)",5
121,"(Religious, Hip-Hop)",1
122,"(Comedy&SpokenWord, Blues)",2
123,"(R&B&Soul, Comedy&SpokenWord)",2
124,"(Alternative&Punk, NewAge)",6
125,"(EasyListening&Vocals, Hip-Hop)",4
126,"(NewAge, Hip-Hop)",3
127,"(Rock&Pop, Country)",3
128,"(Reggae, Jazz)",2
129,"(NewAge, Country)",6
130,"(R&B&Soul, EasyListening&Vocals)",2
131,"(R&B&Soul, Latin)",3
132,"(Soundtracks&More, Alternative&Punk)",1
133,"(R&B&Soul, Rock&Pop)",1
134,"(Alternative&Punk, Latin)",5
135,"(Reggae, Electronic&Dance)",1
136,"(Blues, Childrens's)",2
137,"(Jazz, Childrens's)",3
138,"(Childrens's, Jazz)",2
139,"(NewAge, Jazz)",1
140,"(Electronic&Dance, Rock&Pop)",2
141,"(Jazz, EasyListening&Vocals)",3
142,"(Folk, Childrens's)",5
143,"(Blues, Hip-Hop)",2
144,"(EasyListening&Vocals, Folk)",2
145,"(R&B&Soul, Country)",6
146,"(Folk, NewAge)",1
147,"(Childrens's, Country)",1
148,"(Latin, Rock&Pop)",1
149,"(Classical, Religious)",3
150,"(Classical, World)",6
151,"(Country, Jazz)",2
152,"(NewAge, NewAge)",3
153,"(Childrens's, NewAge)",5
154,"(Childrens's, Latin)",1
155,"(NewAge, World)",5
156,"(NewAge, R&B&Soul)",3
157,"(EasyListening&Vocals, Soundtracks&More)",3
158,"(Latin, World)",3
159,"(World, Rock&Pop)",1
160,"(Religious, Latin)",4
161,"(Alternative&Punk, Rock&Pop)",3
162,"(R&B&Soul, Folk)",1
163,"(Comedy&SpokenWord, Country)",2
164,"(NewAge, Folk)",1
165,"(EasyListening&Vocals, Comedy&SpokenWord)",1
166,"(Folk, Soundtracks&More)",2
167,"(Country, Electronic&Dance)",1
168,"(EasyListening&Vocals, Classical)",1
169,"(Rock&Pop, Rock&Pop)",8
170,"(Blues, Alternative&Punk)",1
171,"(Childrens's, Childrens's)",4
172,"(EasyListening&Vocals, Rock&Pop)",1
173,"(Comedy&SpokenWord, Latin)",1
174,"(Folk, Latin)",3
175,"(Childrens's, EasyListening&Vocals)",3
176,"(EasyListening&Vocals, Country)",4
177,"(Electronic&Dance, Country)",1
178,"(Folk, EasyListening&Vocals)",2
179,"(Electronic&Dance, NewAge)",1
180,"(Country, Rock&Pop)",5
181,"(Folk, Electronic&Dance)",2
182,"(Blues, Soundtracks&More)",1
183,"(World, Jazz)",4
184,"(Soundtracks&More, World)",2
185,"(Folk, Hip-Hop)",2
186,"(Hip-Hop, EasyListening&Vocals)",1
187,"(Electronic&Dance, Latin)",2
188,"(Childrens's, Reggae)",4
189,"(Reggae, Country)",1
190,"(Hip-Hop, Latin)",3
191,"(Religious, NewAge)",3
192,"(EasyListening&Vocals, Childrens's)",4
193,"(Soundtracks&More, Jazz)",1
194,"(NewAge, Blues)",5
195,"(Jazz, Soundtracks&More)",1
196,"(Hip-Hop, Alternative&Punk)",3
197,"(R&B&Soul, World)",1
198,"(Comedy&SpokenWord, R&B&Soul)",2
199,"(Rock&Pop, Alternative&Punk)",5
200,"(NewAge, Religious)",3
201,"(Latin, Comedy&SpokenWord)",1
202,"(Hip-Hop, Reggae)",3
203,"(Classical, Soundtracks&More)",2
204,"(Latin, Latin)",8
205,"(Blues, Religious)",4
206,"(Blues, Folk)",2
207,"(World, Latin)",4
208,"(R&B&Soul, Electronic&Dance)",1
209,"(Comedy&SpokenWord, Soundtracks&More)",2
210,"(EasyListening&Vocals, EasyListening&Vocals)",3
211,"(Childrens's, Folk)",5
212,"(Religious, Alternative&Punk)",3
213,"(Blues, Country)",7
214,"(Rock&Pop, Electronic&Dance)",2
215,"(Folk, Religious)",1
216,"(Religious, Rock&Pop)",3
217,"(Rock&Pop, Comedy&SpokenWord)",2
218,"(Classical, Classical)",6
219,"(Classical, Alternative&Punk)",1
220,"(Jazz, Blues)",3
221,"(Soundtracks&More, EasyListening&Vocals)",1
222,"(Religious, Country)",3
223,"(Soundtracks&More, Religious)",3
224,"(Hip-Hop, R&B&Soul)",10
225,"(EasyListening&Vocals, Alternative&Punk)",3
226,"(Jazz, Religious)",3
227,"(NewAge, Electronic&Dance)",2
228,"(Classical, Childrens's)",2
229,"(Soundtracks&More, Classical)",9
230,"(Comedy&SpokenWord, Jazz)",3
231,"(Reggae, Alternative&Punk)",3
232,"(Jazz, Reggae)",1
233,"(R&B&Soul, Childrens's)",2
234,"(Country, Blues)",5
235,"(Hip-Hop, Religious)",2
236,"(Classical, Hip-Hop)",1
237,"(Latin, Soundtracks&More)",2
238,"(Hip-Hop, Blues)",1
239,"(Childrens's, Alternative&Punk)",2
240,"(Religious, Classical)",4
241,"(Alternative&Punk, Soundtracks&More)",1
242,"(R&B&Soul, Jazz)",4
243,"(Soundtracks&More, Folk)",4
244,"(EasyListening&Vocals, NewAge)",2
245,"(Childrens's, Blues)",4
246,"(Childrens's, Soundtracks&More)",3
247,"(Electronic&Dance, R&B&Soul)",6
248,"(Blues, Reggae)",2
249,"(Classical, Jazz)",3
250,"(Electronic&Dance, Jazz)",1
251,"(Comedy&SpokenWord, Religious)",2
252,"(Country, Comedy&SpokenWord)",1
253,"(Folk, Country)",3
254,"(Folk, Comedy&SpokenWord)",10
255,"(Latin, Jazz)",4
256,"(Rock&Pop, Reggae)",1
257,"(Reggae, Hip-Hop)",6
258,"(Reggae, Childrens's)",2
259,"(Reggae, Reggae)",17
260,"(Blues, Electronic&Dance)",1
261,"(Country, Country)",10
262,"(EasyListening&Vocals, World)",3
263,"(Country, Hip-Hop)",5
264,"(Alternative&Punk, Jazz)",1
265,"(World, Religious)",2
266,"(Rock&Pop, Latin)",2
267,"(Rock&Pop, Blues)",4
268,"(NewAge, Reggae)",2
269,"(Soundtracks&More, Soundtracks&More)",4
270,"(World, Soundtracks&More)",1
271,"(Jazz, Country)",2
272,"(Electronic&Dance, Electronic&Dance)",5
273,"(Electronic&Dance, Soundtracks&More)",2
274,"(Rock&Pop, Childrens's)",3
275,"(Religious, Childrens's)",4
276,"(Comedy&SpokenWord, Comedy&SpokenWord)",7
277,"(Latin, Reggae)",3
278,"(Classical, Rock&Pop)",2
279,"(Folk, Folk)",2
280,"(Country, Soundtracks&More)",2
281,"(Religious, EasyListening&Vocals)",2
282,"(Soundtracks&More, Reggae)",1
283,"(NewAge, Latin)",5
284,"(Reggae, Comedy&SpokenWord)",3
285,"(World, Alternative&Punk)",4
286,"(Latin, Electronic&Dance)",3
287,"(World, World)",6
288,"(Folk, World)",3
289,"(Folk, Blues)",4
290,"(Hip-Hop, Hip-Hop)",10
291,"(Comedy&SpokenWord, Rock&Pop)",3
292,"(Electronic&Dance, EasyListening&Vocals)",4
293,"(Reggae, Latin)",1
294,"(Childrens's, R&B&Soul)",4
295,"(EasyListening&Vocals, Latin)",5
296,"(Classical, Folk)",3
297,"(World, Reggae)",1
298,"(Latin, Hip-Hop)",2
299,"(Jazz, Latin)",5
300,"(Comedy&SpokenWord, Alternative&Punk)",2
301,"(Country, Childrens's)",3
